Country,Year,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,cement_co2,population,Country Code,tree_cover_extent_2000__ha,area__ha,tree_cover_loss__ha,gross_emissions_co2e_all_gases__Mg,pct_tree_cover_2000,pct_loss_vs_extent,co2_per_capita_calc,co2_growth_abs,co2_growth_prct,co2_change_pct,deforestation_pct,baseline_temp,temp_anomaly
Brazil,2015,40.0,19.1,27.509315068493166,3.051780821917807,17.3,42.5,10.232125700152206,529.353,2.625,69.452,330.359,80.465,25.082,2.01675534E8,BRA,5.190566557E8,8.509071985E8,2222653.781,1.244682472E9,61.000383662872494,0.4282102457587271,2.624775497061532,-28.548000000000002,-5.117036893642424,-5.117036893642424,0.4282102457587271,26.929076727299947,0.580238341193219
Brazil,2016,38.2,19.1,27.925409836065565,3.362841530054644,19.7,46.4,9.876955813600485,492.748,2.425,63.831,312.939,69.666,22.415,2.03218108E8,BRA,5.190566557E8,8.509071985E8,5378610.28,2.631722304E9,61.000383662872494,1.0362279764520896,2.4247248675300135,-36.60499999999996,-6.915045347811377,-6.915045347811377,1.0362279764520896,26.929076727299947,0.9963331087656186
Brazil,2017,38.8,15.1,26.507671232876714,2.947397260273973,19.2,54.7,10.099059893455104,498.266,2.434,67.322,316.143,70.688,20.217,2.0470344E8,BRA,5.190566557E8,8.509071985E8,4519545.898,2.334531068E9,61.000383662872494,0.870723041188045,2.4340870871539826,5.518000000000029,1.1198421911402967,1.1198421911402967,0.870723041188045,26.929076727299947,-0.42140549442323305
Brazil,2018,39.0,15.6,26.242465753424668,2.6715068493150684,22.0,51.8,9.99530710045662,478.379,2.321,65.841,300.73,67.417,20.494,2.06107265E8,BRA,5.190566557E8,8.509071985E8,2948392.529,1.718707378E9,61.000383662872494,0.568029038183471,2.3210195914248826,-19.887,-3.99124162595883,-3.99124162595883,0.568029038183471,26.929076727299947,-0.686610973875279
Brazil,2019,40.7,15.1,27.047671232876713,2.01095890410959,18.8,47.9,10.459165228310502,473.39,2.282,61.888,299.436,67.121,21.048,2.07455459E8,BRA,5.190566557E8,8.509071985E8,2696542.179,1.532889288E9,61.000383662872494,0.5195082558691868,2.2818874098656523,-4.989000000000033,-1.0428969499079233,-1.0428969499079233,0.5195082558691868,26.929076727299947,0.1185945055767661
Brazil,2020,40.1,12.9,26.271857923497272,3.1972677595628434,19.0,47.2,10.20270601851852,445.208,2.134,56.241,282.678,59.026,23.366,2.08660845E8,BRA,5.190566557E8,8.509071985E8,3290644.631,1.680953959E9,61.000383662872494,0.6339663685772867,2.1336441918463427,-28.18199999999996,-5.953230951224143,-5.953230951224143,0.6339663685772867,26.929076727299947,-0.6572188038026745
Brazil,2021,40.8,13.4,25.80547945205478,3.941643835616439,22.3,52.6,9.87495226788432,498.017,2.377,68.23,305.428,75.974,24.488,2.09550291E8,BRA,5.190566557E8,8.509071985E8,2990028.761,1.868490743E9,61.000383662872494,0.5760505579044441,2.376598942542151,52.80899999999997,11.861646690984884,11.861646690984884,0.5760505579044441,26.929076727299947,-1.1235972752451673
Brazil,2022,39.7,10.9,26.012876712328794,3.606301369863014,19.2,47.9,10.007897762557077,483.841,2.301,56.078,319.935,60.085,23.845,2.10306411E8,BRA,5.190566557E8,8.509071985E8,3308334.446,2.08294616E9,61.000383662872494,0.6373744387379792,2.3006478865734628,-14.175999999999988,-2.8464891760722977,-2.8464891760722977,0.6373744387379792,26.929076727299947,-0.9162000149711531
Brazil,2023,39.8,15.8,26.689041095890428,3.6054794520547966,21.0,52.6,10.103220380517506,486.47,2.304,54.848,326.432,56.329,24.963,2.11140731E8,BRA,5.190566557E8,8.509071985E8,2805354.98,1.6937105E9,61.000383662872494,0.5404718250297161,2.3040083156669566,2.629000000000019,0.5433603187824154,0.5433603187824154,0.5404718250297161,26.929076727299947,-0.2400356314095191
China,2001,33.0,-15.9,8.669315068493152,1.1649315068493156,35.8,77.0,9.149444642313545,3728.51,2.916,2637.651,659.3,67.157,270.828,1.278725057E9,CHN,1.628735941E8,9.350300495E8,230308.1206,8.984722459E7,17.419075909602626,0.1414029830142982,2.9158027205218047,null,null,null,0.1414029830142982,8.68596047608354,-0.016645407590388572
